date,horse_no,plc,horse,jockey,trainer,actual_wt,declar_horse_wt,draw,lbw,running_position,finish_time,win_odds
2015/09/23,8,12,星夢(S041),鄭雨滇,何良,119,1147,8,6-3/4,1 1 1 12,1.42.15,7.8
2015/09/23,10,8,班加羅爾(T296),何澤堯,方嘉柏,115,1132,5,6-1/4,4 4 8,1.11.20,64
2015/09/23,6,9,華美之寶(S247),郭能,告東尼,125,1140,12,6-3/4,11 12 9,1.11.24,87
2015/09/16,2,4,喜喜寶(S125),巫斯義,方嘉柏,128,1097,9,1-3/4,2 3 2 4,1.40.72,7.3
2015/09/16,1,5,醒目名駒(S393),蔡明紹,告東尼,133,1150,6,2-3/4,9 9 9 5,1.40.86,7.2
2015/10/01,11,1,有得威(S398),田泰安,姚本輝,120,1120,12,-,5 5 1,1.09.34,3.2
2015/09/19,4,4,匯聚力量(N252),梁家俊,李易達,126,1000,3,2,7 5 5 4,1.23.23,16
2015/09/19,8,5,名駒(N234),史卓豐,孫達志,117,1120,7,2-1/4,3 2 2 5,1.23.30,7.8
2015/09/09,1,1,常勝龍王(P078),巫斯義,文家良,132,1107,4,-,5 5 4 1,1.42.12,4.6
2015/10/10,6,8,皇龍動力(S186),柏寶,徐雨石,129,1199,11,3,10 11 8,1.09.87,10
2015/10/10,5,9,新界福星(N272),賴維銘,蘇偉賢,130,1131,6,7-1/4,12 12 9,1.10.53,99
2015/09/09,6,2,根深柢固(P428),柏寶,姚本輝,128,1095,4,一頭位,4 3 4 2,1.42.60,4.4
2015/09/09,4,3,風采(P423),蔡明紹,胡森,128,1037,7,3/4,9 10 9 3,1.42.69,12
2015/09/23,9,12,無敵猛將(P139),史卓豐,告達理,116,1097,2,65,9 12 12 12,1.51.26,23
2015/09/16,1,2,精算率然(P355),巫斯義,呂健威,133,1074,11,1-1/2,1 1 2,1.10.70,11
2015/09/16,9,3,越感(T273),韋達,霍利時,120,1136,3,1-3/4,4 4 3,1.10.74,7.6
2015/10/10,7,10,勢不可擋(T316),蔣嘉琦,呂健威,111,1056,7,6-3/4,8 9 10,1.10.43,99
2015/10/10,3,11,彩耀滿堂(T206),何澤堯,方嘉柏,123,1171,12,8,11 12 11,1.10.61,99
2015/09/23,8,10,笑眼光(S291),柏寶,蘇偉賢,121,1114,7,9-1/2,8 8 10,1.11.70,7.4
2015/09/23,4,11,滿貫豐采(N392),黃皓楠,告達理,118,1153,8,10-3/4,1 1 11,1.11.88,36
2015/09/16,11,6,旅遊首席(T098),史卓豐,高伯新,117,1212,8,4,6 7 7 6,1.41.07,12
2015/09/16,10,7,紅駿(P264),蘇狄雄,蔡約翰,115,1056,7,4-1/4,10 10 10 7,1.41.11,21
2015/10/01,4,2,跑寶貝跑(N033),蔣嘉琦,葉楚航,120,1131,9,1,1 1 2,1.09.50,69
2015/10/01,2,3,活力寶(T009),莫雷拉,蔡約翰,131,1140,1,2-1/4,6 4 3,1.09.68,5.1
2015/09/19,3,6,公平競技(N323),楊明綸,鄭俊偉,128,1141,5,2-1/2,9 9 9 6,1.23.32,81
2015/09/19,2,7,雷神寶(T246),巫斯義,徐雨石,131,1137,10,3,5 6 6 7,1.23.40,2.6
2015/09/09,8,2,珍珠旺(S138),莫雷拉,苗禮德,126,1031,9,3/4,10 10 8 2,1.42.23,2.6
2015/09/09,4,3,紫電明珠(P256),楊明綸,呂健威,125,1161,3,3/4,2 3 2 3,1.42.26,4
2015/10/10,3,10,多多勁驥(S385),霍勵賢,苗禮德,133,1133,2,7-1/2,1 1 10,1.10.57,15
